code,material,en,source,parent_code,single_use,groupname,fr,de
G708,Metal,Batons de ski,Usagers,G199,False,recreation,Batons de ski,Skistöcke
G712,Cloth,Gants de ski,Usagers,G135,False,recreation,Gants de ski,Skihandschuhe
G902,Cloth,"Mask medical, cloth",Personal hygiene,G145,False,personal items,"Masque médical, tissu réutilisable","Medizinische Masken, Stoff"
G917,Glass,Terracotta balls,Utility items,G210,False,unclassified,Boules de terre cuite,Blähton
G921,Glass,Ceramic tile and pieces,Construction,G204,False,infrastructure,Carreaux et pièces de céramique,Keramikfliesen und Bruchstücke
G705,Metal,Screws and bolts,Domaine skiable,G197,False,infrastructure,Screws and bolts,Schrauben und Bolzen
G906,Metal,coffee capsules aluminum,Packaging,G177,True,food and drink,Capsules de café en aluminium,Kaffeekapseln Aluminium
G918,Metal,"Safety pins, paper clips, small metal utility items",Utility items,G198,False,personal items,"Épingles trombones, petits outils métalliques","Sicherheitsnadeln, Büroklammern, kleine Gebrauchsgegenstände aus Metall"
G919,Metal,"Nails, screws, bolts etc.",Utility items,G197,False,infrastructure,"Clous, vis, boulons, etc.","Nägel, Schrauben, Bolzen usw. "
G929,Metal,"Electronics and pieces; sensors, headsets etc.",Utility items,G198,False,personal items,"Électronique et pièces ; capteurs, écouteurs","Elektronik und Teile; Sensoren, Headsets usw. "
G945,Metal,Razor blades,Personal hygiene,G198,True,personal items,Lames de rasoir,Rasierklingen
G923,Paper,"Tissue, toilet paper, napkins, paper towels",Personal hygiene,G158,False,personal items,"Mouchoirs en papier, papier toilette, serviettes de table","Taschentücher, Toilettenpapier, Servietten, Papierhandtücher"
G21,Plastic,Drink lids,Packaging,Gcaps,False,food and drink,Couvercles de bouteilles,"Getränke-Deckel, Getränkeverschluss"
G22,Plastic,"Lids for chemicals, detergents (non-food)",Packaging,Gcaps,False,infrastructure,Couvercles pour produits  non alimentaires,"Deckel für Chemikalien, Reinigungsmittel (Ohne Lebensmittel)"
G23,Plastic,Lids unidentified,Packaging,Gcaps,False,packaging non food,Couvercles non identifiés,unidentifizierte Deckel
