slug,feature_ty,feature,area,dry,scale
aabach,l,undefined,2025021,4967000,0.408
aare-limmatspitz,r,undefined,2842782,7065000,0.402
aare-port,r,undefined,1470180,7065000,0.208
aare-solothurn-lido-strand,r,undefined,3154228,7065000,0.446
aare_bern_caveltin,r,undefined,2543374,7065000,0.36
aare_bern_gerberm,r,undefined,2859805,7065000,0.405
aare_bern_scheurerk,r,undefined,1396150,7065000,0.198
aare_brugg_buchie,r,undefined,2188255,7065000,0.31
aare_elfenau_cataldiv,r,undefined,1145277,7062611,0.162
aare_kehrsatz_stolten,r,undefined,3553748,7065000,0.503
aare_koniz_hoppej,r,undefined,747254,7053413,0.106
aare_post,r,undefined,1519168,7065000,0.215
aare_rupperswil_badert,r,undefined,1952501,7043473,0.277
aare_solothurn_nguyena,r,undefined,2980259,7065000,0.422
aare_suhrespitz_badert,r,undefined,1948041,7065000,0.276
aarezufluss_bern_scheurerk,r,undefined,1423578,7065000,0.201
airolo,p,undefined,4758262,7037540,0.676
anarchy-beach,l,undefined,17126,2548254,0.007
andermatt,p,undefined,6866639,7065000,0.972
arabie,l,undefined,70849,3435483,0.021
arve_carouge_battistellak,r,undefined,1373921,7065000,0.194
ascona-traghetto-spiaggia,l,undefined,577387,4642599,0.124
augustmutzenbergstrandweg,l,undefined,627527,4117306,0.152
baby-plage-geneva,l,undefined,593988,4674735,0.127
baby-plage-ii-geneve,l,undefined,443122,4573041,0.097
bain-des-dames,l,undefined,17119,3306956,0.005
baye-de-clarens,l,undefined,98867,3239859,0.031
baye-de-montreux-d,l,undefined,536430,3077448,0.174
baye-de-montreux-g,l,undefined,531009,3060034,0.174
beich,r,undefined,5324968,7065000,0.754
bern-fahrstrasse,r,undefined,1481293,7065000,0.21
bern-tiergarten,r,undefined,723132,7065000,0.102
bielersee_vinelz_fankhausers,l,undefined,2691650,4762281,0.565
birs_basel_grunern,r,undefined,743974,7065000,0.105
birs_basel_laderachs,r,undefined,834474,7065000,0.118
birs_reinach_dinuccin,r,undefined,164471,7065000,0.023
birskopfli-rusco,r,undefined,661070,7065000,0.094
bodensee_altenrhein_caluoria,l,undefined,2212156,4107846,0.539
bodensee_arbon_moslis,l,undefined,596279,3031126,0.197
bodensee_horn_huberm,l,undefined,617616,3754251,0.165
bodensee_steinach_dolder_a,l,undefined,749115,4958241,0.151
bodensee_thal_schlachterj_1,l,undefined,2249766,4168874,0.54
boiron,l,undefined,1024260,2579071,0.397
brugg-be-buren-bsg-standort,r,undefined,2457807,7065000,0.348
cabanes-des-diablerets,p,undefined,6586639,7065000,0.932
camp-des-peches,l,undefined,2612164,5417037,0.482
camping-gwatt-strand,l,undefined,343715,4058830,0.085
canale-saleggi,r,undefined,1112532,7065000,0.157
caprino,l,undefined,1038006,3640479,0.285
charmey,p,undefined,4180569,7065000,0.592
chriesbach_duebendorf_schneidera,r,undefined,1336772,7065000,0.189
crans-montana,p,undefined,5910573,7065000,0.837
cully-plage,l,undefined,1047544,4389945,0.239
delta-park,l,undefined,709092,3693717,0.192
emme_biberist_jennim,r,undefined,2033803,7065000,0.288
emme_utzenstorf_gruttert,r,undefined,3260219,7065000,0.461
erlach-camping-strand,l,undefined,1394331,2816693,0.495
evole-plage,l,undefined,288485,4422729,0.065
flibach-river-right-bank,l,undefined,2182077,5252170,0.415
foce-del-cassarate,r,undefined,115049,4134215,0.028
gals-reserve,l,undefined,2146896,4566601,0.47
gasi-strand,l,undefined,1839605,4817361,0.382
gerra-gambarogno,l,undefined,513402,3729240,0.138
glatt_oerlikon_covosn,r,undefined,1092146,7065000,0.155
