slug,feature_ty,dry,feature,area,scale
aabach,l,4967000,Baumschule,2525,0.0005083551439500704
aabach,l,4967000,Friedhof,3678,0.0007404872156231125
aabach,l,4967000,Schul- und Hochschulareal,25974,0.005229313468894705
aabach,l,4967000,Wald nicht bestockt,2833,0.000570364405073485
aare-limmatspitz,r,7065000,Abwasserreinigungsareal,10719,0.0015171974522292994
aare-limmatspitz,r,7065000,Friedhof,17541,0.0024828025477707004
aare-limmatspitz,r,7065000,Historisches Areal,1966,0.000278273177636235
aare-limmatspitz,r,7065000,Kraftwerkareal,1528,0.00021627742392073601
aare-limmatspitz,r,7065000,Schrebergartenareal,3161,0.00044741684359518753
aare-limmatspitz,r,7065000,Schul- und Hochschulareal,32744,0.0046346779900920025
aare-limmatspitz,r,7065000,Truppenuebungsplatz,74200,0.010502476999292286
aare-limmatspitz,r,7065000,Unterwerkareal,3995,0.0005654635527246992
aare-limmatspitz,r,7065000,Wald nicht bestockt,6573,0.0009303609341825902
aare-port,r,7065000,Abwasserreinigungsareal,30395,0.004302193913658882
aare-port,r,7065000,Baumschule,24115,0.003413305024769993
aare-port,r,7065000,Friedhof,84593,0.011973531493276715
aare-port,r,7065000,Historisches Areal,48192,0.006821231422505308
aare-port,r,7065000,Kehrichtverbrennungsareal,21345,0.0030212314225053077
aare-port,r,7065000,Kraftwerkareal,16259,0.0023013446567586695
aare-port,r,7065000,Schrebergartenareal,93058,0.01317169143665959
aare-port,r,7065000,Schul- und Hochschulareal,41710,0.005903750884642604
aare-solothurn-lido-strand,r,7065000,Abwasserreinigungsareal,472,6.680820948336872e-05
aare-solothurn-lido-strand,r,7065000,Historisches Areal,2838,0.00040169851380042465
aare-solothurn-lido-strand,r,7065000,Schrebergartenareal,28770,0.004072186836518047
aare-solothurn-lido-strand,r,7065000,Schul- und Hochschulareal,52816,0.007475725406935598
aare-solothurn-lido-strand,r,7065000,Spitalareal,98764,0.0139793347487615
aare_bern_caveltin,r,7065000,Baumschule,12592,0.0017823071479122436
aare_bern_caveltin,r,7065000,Friedhof,21010,0.0029738145789101203
aare_bern_caveltin,r,7065000,Historisches Areal,21386,0.003027034677990092
aare_bern_caveltin,r,7065000,Oeffentliches Parkareal,137649,0.019483227176220808
aare_bern_caveltin,r,7065000,Schrebergartenareal,21278,0.0030117480537862704
aare_bern_caveltin,r,7065000,Schul- und Hochschulareal,56951,0.008061004953998585
aare_bern_gerberm,r,7065000,Abwasserreinigungsareal,19049,0.0026962491153573955
aare_bern_gerberm,r,7065000,Baumschule,4494,0.0006360934182590233
aare_bern_gerberm,r,7065000,Friedhof,15313,0.002167445152158528
aare_bern_gerberm,r,7065000,Historisches Areal,492892,0.069765322009908
aare_bern_gerberm,r,7065000,Schrebergartenareal,22461,0.0031791932059447984
aare_bern_gerberm,r,7065000,Schul- und Hochschulareal,240820,0.03408634111818825
aare_bern_gerberm,r,7065000,Spitalareal,5071,0.0007177636234961076
aare_bern_scheurerk,r,7065000,Abwasserreinigungsareal,21691,0.003070205237084218
aare_bern_scheurerk,r,7065000,Friedhof,18163,0.0025708421797593774
aare_bern_scheurerk,r,7065000,Historisches Areal,1075626,0.15224713375796178
aare_bern_scheurerk,r,7065000,Kraftwerkareal,4928,0.0006975230007077141
aare_bern_scheurerk,r,7065000,Messeareal,4820,0.0006822363765038924
aare_bern_scheurerk,r,7065000,Oeffentliches Parkareal,58756,0.008316489738145789
aare_bern_scheurerk,r,7065000,Schrebergartenareal,96387,0.013642887473460721
aare_bern_scheurerk,r,7065000,Schul- und Hochschulareal,136021,0.019252795470629865
aare_bern_scheurerk,r,7065000,Spitalareal,50361,0.00712823779193206
aare_bern_scheurerk,r,7065000,Truppenuebungsplatz,30346,0.004295258315640481
aare_bern_scheurerk,r,7065000,Unterwerkareal,21031,0.0029767869780608636
aare_brugg_buchie,r,7065000,Abwasserreinigungsareal,10719,0.0015171974522292994
aare_brugg_buchie,r,7065000,Friedhof,6730,0.0009525831564048125
aare_brugg_buchie,r,7065000,Kraftwerkareal,1528,0.00021627742392073601
aare_brugg_buchie,r,7065000,Schrebergartenareal,36723,0.005197876857749469
aare_brugg_buchie,r,7065000,Schul- und Hochschulareal,72495,0.010261146496815287
