loc_date,date,feature_name,slug,code,pcs_m,quantity,parent_boundary,length,groupname,city
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G48,0.0,0,rhone,59,recreation,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G170,0.0,0,rhone,59,agriculture,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G709,0.0,0,rhone,59,recreation,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G204,0.0,0,rhone,59,infrastructure,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G705,0.0,0,rhone,59,infrastructure,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G919,0.0,0,rhone,59,infrastructure,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G93,0.0,0,rhone,59,infrastructure,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G78,0.0,0,rhone,59,plastic pieces,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G122,0.0,0,rhone,59,micro plastics (< 5mm),La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G915,0.0,0,rhone,59,personal items,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G146,0.0,0,rhone,59,packaging non food,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G922,0.0,0,rhone,59,packaging non food,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G208,0.0,0,rhone,59,unclassified,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G941,0.0,0,rhone,59,packaging non food,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G74,0.0,0,rhone,59,infrastructure,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G142,0.0,0,rhone,59,recreation,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G921,0.0,0,rhone,59,infrastructure,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G198,0.0,0,rhone,59,infrastructure,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G931,0.0,0,rhone,59,infrastructure,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G87,0.0,0,rhone,59,infrastructure,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G124,0.0,0,rhone,59,unclassified,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G916,0.0,0,rhone,59,personal items,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G936,0.0,0,rhone,59,agriculture,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G703,0.0,0,rhone,59,infrastructure,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G707,0.0,0,rhone,59,recreation,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G139,0.0,0,rhone,59,personal items,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G152,0.0,0,rhone,59,tobacco,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G75,0.0,0,rhone,59,plastic pieces,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G20,0.0,0,rhone,59,packaging non food,La Tour-de-Peilz
"('maladaire', '2016-05-31')",2016-05-31,lac-leman,maladaire,G905,0.0,0,rhone,59,personal items,La Tour-de-Peilz
