lake,river_name,size,class,attribute,slug,attribute_type
Brienzersee,Lütschine,6,6,Fluss,hafeli,river intersection
Brienzersee,Aare,5,4,Fluss,hafeli,river intersection
Brienzersee,Lütschine,6,6,Fluss,hafeli,river intersection
Brienzersee,Kanal Aarboden,18,8,Fluss,oben-am-see,river intersection
Brienzersee,Kanal Aarboden,18,8,Fluss,wycheley,river intersection
Brienzersee,Kanal Aarboden,18,8,Fluss,oben-am-see,river intersection
Brienzersee,Kanal Aarboden,18,8,Fluss,wycheley,river intersection
Brienzersee,Aare,6,4,Fluss,oben-am-see,river intersection
Brienzersee,Aare,6,4,Fluss,wycheley,river intersection
Brienzersee,Aare,6,4,Fluss,oben-am-see,river intersection
Brienzersee,Aare,6,4,Fluss,wycheley,river intersection
Brienzersee,Fulbach,9,9,Fluss,oben-am-see,river intersection
Brienzersee,Fulbach,9,9,Fluss,wycheley,river intersection
Brienzersee,Lammbach,9,9,Fluss,oben-am-see,river intersection
Brienzersee,Lammbach,9,9,Fluss,wycheley,river intersection
Brienzersee,Fulbach,9,9,Fluss,oben-am-see,river intersection
Brienzersee,Fulbach,9,9,Fluss,wycheley,river intersection
Brienzersee,Glyssibach,10,10,Fluss,oben-am-see,river intersection
Brienzersee,Glyssibach,10,10,Fluss,wycheley,river intersection
Brienzersee,Lammbach,9,9,Fluss,oben-am-see,river intersection
Brienzersee,Lammbach,9,9,Fluss,wycheley,river intersection
Brienzersee,Glyssibach,10,10,Fluss,oben-am-see,river intersection
Brienzersee,Glyssibach,10,10,Fluss,wycheley,river intersection
Brienzersee,Aare,5,4,Fluss,hafeli,river intersection
Lago Maggiore,Riale Brima,9,9,Fluss_U,route-13,river intersection
Lago Maggiore,Riale Brima,9,9,Fluss_U,ascona-traghetto-spiaggia,river intersection
Lago Maggiore,Maggia,4,5,Fluss,sentiero-giro-del-golf-spiaggia,river intersection
Lago Maggiore,Riale Brima,9,9,Fluss_U,route-13,river intersection
Lago Maggiore,Riale Brima,9,9,Fluss_U,ascona-traghetto-spiaggia,river intersection
Lago Maggiore,not available,10,10,Fluss,isole-di-brissago-porto,river intersection
Lago Maggiore,not available,10,10,Fluss,isole-di-brissago-porto,river intersection
Lago Maggiore,not available,10,10,Fluss,isole-di-brissago-porto,river intersection
Lago Maggiore,not available,10,10,Fluss,isole-di-brissago-porto,river intersection
Lago Maggiore,not available,10,10,Fluss,pacha-mama-gerra,river intersection
Lago Maggiore,not available,10,10,Fluss,gerra-gambarogno,river intersection
Lago Maggiore,not available,10,10,Fluss,san-nazzaro-gambarogno,river intersection
Lago Maggiore,not available,9,9,Fluss,pacha-mama-gerra,river intersection
Lago Maggiore,not available,9,9,Fluss,gerra-gambarogno,river intersection
Lago Maggiore,not available,9,9,Fluss,san-nazzaro-gambarogno,river intersection
Lago Maggiore,not available,10,10,Fluss,pacha-mama-gerra,river intersection
Lago Maggiore,not available,10,10,Fluss,gerra-gambarogno,river intersection
Lago Maggiore,not available,10,10,Fluss,san-nazzaro-gambarogno,river intersection
Lago Maggiore,not available,9,9,Fluss,pacha-mama-gerra,river intersection
Lago Maggiore,not available,9,9,Fluss,gerra-gambarogno,river intersection
Lago Maggiore,not available,9,9,Fluss,san-nazzaro-gambarogno,river intersection
Lago Maggiore,not available,9,9,Fluss,vira-gambarogno,river intersection
Lago Maggiore,not available,9,9,Fluss,vira-spiaggia-left-of-river,river intersection
Lago Maggiore,not available,9,9,Fluss,vira-gambarogno,river intersection
Lago Maggiore,not available,9,9,Fluss,vira-spiaggia-left-of-river,river intersection
Lago Maggiore,not available,9,9,Fluss,magadino-lido,river intersection
Lago Maggiore,not available,9,9,Fluss,magadino-lido,river intersection
Lago Maggiore,Ticino,3,4,Fluss,magadino-lido,river intersection
Lago Maggiore,Isolone,10,10,Fluss,magadino-lido,river intersection
Lago Maggiore,Ticino,3,4,Fluss,magadino-lido,river intersection
Lago Maggiore,Isolone,10,10,Fluss,magadino-lido,river intersection
Lago Maggiore,Navegna,9,9,Fluss,rivapiana,river intersection
Lago Maggiore,Riale Ramnosa,10,10,Fluss,rivapiana,river intersection
Lago Maggiore,Navegna,9,9,Fluss,rivapiana,river intersection
Lago Maggiore,Riale Ramnosa,10,10,Fluss,rivapiana,river intersection
Lago Maggiore,Riale Rabissale,10,10,Fluss,rivapiana,river intersection
Lago Maggiore,Ramogna,10,10,Fluss_U,rivapiana,river intersection
Lago Maggiore,Riale Rabissale,10,10,Fluss,rivapiana,river intersection
Lago Maggiore,Ramogna,10,10,Fluss_U,rivapiana,river intersection
Lago Maggiore,Maggia,4,5,Fluss,sentiero-giro-del-golf-spiaggia,river intersection
Walensee,Helgenbach,10,10,Fluss,walensee_walenstadt_wysse,river intersection
Walensee,Helgenbach,10,10,Fluss,seemuhlestrasse-strand,river intersection
Walensee,Helgenbach,10,10,Fluss,seez,river intersection
Walensee,Flybach,9,9,Fluss,gasi-strand,river intersection
Walensee,Flybach,9,9,Fluss,linthdammweg,river intersection
Walensee,Flybach,9,9,Fluss,seeflechsen,river intersection
Walensee,Flybach,9,9,Fluss,flibach-river-right-bank,river intersection
Walensee,Flybach,9,9,Fluss,linth_route9brucke,river intersection
Walensee,Flybach,9,9,Fluss,linth_mollis,river intersection
Walensee,Flybach,9,9,Fluss,gasi-strand,river intersection
Walensee,Flybach,9,9,Fluss,linthdammweg,river intersection
Walensee,Flybach,9,9,Fluss,seeflechsen,river intersection
Walensee,Flybach,9,9,Fluss,flibach-river-right-bank,river intersection
Walensee,Flybach,9,9,Fluss,linth_route9brucke,river intersection
Walensee,Flybach,9,9,Fluss,linth_mollis,river intersection
Walensee,Linthkanal,15,5,Fluss,gasi-strand,river intersection
Walensee,Linthkanal,15,5,Fluss,linthdammweg,river intersection
Walensee,Linthkanal,15,5,Fluss,seeflechsen,river intersection
Walensee,Linthkanal,15,5,Fluss,flibach-river-right-bank,river intersection
Walensee,Linthkanal,15,5,Fluss,linth_mollis,river intersection
Walensee,Linth,5,5,Fluss,gasi-strand,river intersection
Walensee,Linth,5,5,Fluss,seeflechsen,river intersection
Walensee,Linth,5,5,Fluss,flibach-river-right-bank,river intersection
Walensee,Linth,5,5,Fluss,linth_route9brucke,river intersection
Walensee,Linthkanal,15,5,Fluss,gasi-strand,river intersection
Walensee,Linthkanal,15,5,Fluss,linthdammweg,river intersection
Walensee,Linthkanal,15,5,Fluss,seeflechsen,river intersection
Walensee,Linthkanal,15,5,Fluss,flibach-river-right-bank,river intersection
Walensee,Linthkanal,15,5,Fluss,linth_mollis,river intersection
Walensee,Filzbach,9,9,Fluss,linth_route9brucke,river intersection
Walensee,Linth,5,5,Fluss,gasi-strand,river intersection
Walensee,Linth,5,5,Fluss,seeflechsen,river intersection
Walensee,Linth,5,5,Fluss,flibach-river-right-bank,river intersection
Walensee,Linth,5,5,Fluss,linth_route9brucke,river intersection
Walensee,Filzbach,9,9,Fluss,linth_route9brucke,river intersection
Walensee,Meerenbach,9,9,Fluss,muhlehorn-dorf,river intersection
Walensee,Meerenbach,9,9,Fluss,muhlehorn-dorf,river intersection
Walensee,Rötibach,9,9,Fluss,muhlehorn-dorf,river intersection
Walensee,Rötibach,9,9,Fluss,muhlehorn-dorf,river intersection
Walensee,Murgbach,8,8,Fluss,murg-bad,river intersection
Walensee,Talbach,9,9,Fluss,untertenzen,river intersection
Walensee,Murgbach,8,8,Fluss,murg-bad,river intersection
Walensee,Talbach,9,9,Fluss,untertenzen,river intersection
Walensee,Talbach (Mols),9,9,Fluss,mols-rocks,river intersection
Walensee,Seez,6,6,Fluss,walensee_walenstadt_wysse,river intersection
Walensee,Seez,6,6,Fluss,mols-rocks,river intersection
Walensee,Seez,6,6,Fluss,seemuhlestrasse-strand,river intersection
Walensee,Seez,6,6,Fluss,seez_spennwiesenbrucke,river intersection
Walensee,Seez,6,6,Fluss,seez,river intersection
Walensee,Talbach (Mols),9,9,Fluss,mols-rocks,river intersection
Walensee,Kanal Platz,18,8,Fluss,walensee_walenstadt_wysse,river intersection
Walensee,Kanal Platz,18,8,Fluss,mols-rocks,river intersection
Walensee,Kanal Platz,18,8,Fluss,seemuhlestrasse-strand,river intersection
Walensee,Kanal Platz,18,8,Fluss,seez_spennwiesenbrucke,river intersection
Walensee,Kanal Platz,18,8,Fluss,seez,river intersection
Walensee,Seez,6,6,Fluss,walensee_walenstadt_wysse,river intersection
