slug,NAMN,NAMN_2,BREITE,KLASSE,OBJVAL,distance,distance_1
tiger-duck-beach,Le Léman,La Mèbre,"8","8",Fluss,"333",
parc-des-pierrettes,Le Léman,La Mèbre,"8","8",Fluss,"333",
plage-de-st-sulpice,Le Léman,La Mèbre,"8","8",Fluss,"874",
maladaire,Le Léman,Baye de Clarens,"9","9",Fluss,"1272",
preverenges,Le Léman,Le Venoge,"8","7",Fluss,"1263",
foce-del-cassarate,Lago di Lugano,Cassarate,"7","7",Fluss,"1087",
lido,Lago di Lugano,Cassarate,"7","7",Fluss,"48",
lugano-centro,Lago di Lugano,Cassarate,"7","7",Fluss,"23",
spiaggia-parco-ciani,Lago di Lugano,Cassarate,"7","7",Fluss,"867",
isole-di-brissago-porto,Lago Maggiore,N_P,"10","10",Fluss,"95",
magadino-lido,Lago Maggiore,N_P,"9","9",Fluss,"1476",
magadino-lido,Lago Maggiore,Ticino,"3","4",Fluss,"819",
magadino-lido,Lago Maggiore,Isolone,"10","10",Fluss,"1108",
rivapiana,Lago Maggiore,Navegna,"9","9",Fluss,"1195",
rivapiana,Lago Maggiore,Riale Ramnosa,"10","10",Fluss,"1126",
rivapiana,Lago Maggiore,Riale Rabissale,"10","10",Fluss,"590",
rivapiana,Lago Maggiore,Ramogna,"10","10",Fluss_U,"459",
zugerseecholler_cham_blarerm,Zugersee,Lorze,"6","5",Fluss,"895",
la-petite-plage,Lac de Neuchâtel,La Thielle,"6","6",Fluss,"1310",
la-petite-plage,Lac de Neuchâtel,Canal Oriental,"18","8",Fluss,"1065",
la-petite-plage,Lac de Neuchâtel,Le Buron,"8","8",Fluss,"663",
vidy-ruines,Le Léman,La Mèbre,"8","8",Fluss,"449",
vidy-ruines,Le Léman,Le Flon,"10","10",Fluss_U,"751",
baby-plage-geneva,Le Léman,Le Rhône,"1","4",Fluss,"603",
grand-clos,Le Léman,Canal Stockalper,"18","8",Fluss,"1131",
grand-clos,Le Léman,Le Rhône,"2","4",Fluss,"1114",
grand-clos,Le Léman,Le Tové,"10","10",Fluss,"1372",
weissenau-neuhaus,Thunersee,Schifffahrtskanal,"20","10",Fluss,"633",
weissenau-neuhaus,Thunersee,Aare,"5","4",Fluss,"1410",
weissenau-neuhaus,Thunersee,Lombach,"7","7",Fluss,"1253",
evole-plage,Lac de Neuchâtel,Le Seyon,"8","8",Fluss,"510",
plage-de-serriere,Lac de Neuchâtel,Le Seyon,"8","8",Fluss,"240",
mullermatte,Bielersee,La Thielle,"6","6",Fluss,"841",
mullermatte,Bielersee,La Suze,"7","7",Fluss,"639",
mullermatte,Bielersee,Aare,"14","4",Fluss,"545",
quai-maria-belgia,Le Léman,La Veveyse,"8","8",Fluss,"1049",
quai-maria-belgia,Le Léman,L'Ognona,"10","10",Fluss,"153",
bielersee_vinelz_fankhausers,Bielersee,Mülibach,"10","10",Fluss,"1240",
erlach-camping-strand,Bielersee,Mülibach,"10","10",Fluss,"483",
erlach-camping-strand,Bielersee,Ruisseau de Vaux,"9","9",Fluss,"777",
anarchy-beach,Le Léman,L'Ognona,"10","10",Fluss,"1484",
gasi-strand,Walensee,Flybach,"9","9",Fluss,"1167",
gasi-strand,Walensee,Linthkanal,"15","5",Fluss,"749",
gasi-strand,Walensee,Linth,"5","5",Fluss,"1032",
rastplatz-stampf,Zürichsee,Wagnerbach,"9","9",Fluss,"665",
rastplatz-stampf,Zürichsee,Jona,"7","7",Fluss,"1454",
zuerichsee_richterswil_benkoem_2,Zürichsee,Reidbach,"10","10",Fluss_U,"87",
sentiero-giro-del-golf-spiaggia,Lago Maggiore,Maggia,"4","5",Fluss,"1199",
vira-gambarogno,Lago Maggiore,N_P,"9","9",Fluss,"1170",
walensee_walenstadt_wysse,Walensee,Helgenbach,"10","10",Fluss,"95",
walensee_walenstadt_wysse,Walensee,Seez,"6","6",Fluss,"936",
walensee_walenstadt_wysse,Walensee,Kanal Platz,"18","8",Fluss,"218",
walensee_walenstadt_wysse,Walensee,Tscherlerbach,"8","8",Fluss,"98",
pfafikon-bad,Zürichsee,Sarenbach,"9","9",Fluss,"473",
pfafikon-bad,Zürichsee,Staldenbach,"9","9",Fluss,"615",
zurichsee_kusnachterhorn_thirkell-whitej,Zürichsee,Dorfbach,"9","9",Fluss,"68",
thun-strandbad,Thunersee,Hünibach,"9","9",Fluss,"31",
thun-strandbad,Thunersee,Aare,"5","4",Fluss,"1022",
zurichsee_wollishofen_langendorfm,Zürichsee,Wildbach,"9","9",Fluss,"847",
pont-sous-terre,Le Léman,Le Rhône,"1","4",Fluss,"1491",
oben-am-see,Brienzersee,Kanal Aarboden,"18","8",Fluss,"1367",
oben-am-see,Brienzersee,Aare,"6","4",Fluss,"481",
oben-am-see,Brienzersee,Fulbach,"9","9",Fluss,"293",
oben-am-see,Brienzersee,Lammbach,"9","9",Fluss,"471",
oben-am-see,Brienzersee,Glyssibach,"10","10",Fluss,"791",
preverenges-le-sout,Le Léman,Le Venoge,"8","7",Fluss,"988",
la-pecherie,Le Léman,L'Aubonne,"9","9",Fluss,"422",
la-pecherie,Le Léman,L'Eau Noire,"10","10",Fluss,"629",
untertenzen,Walensee,Talbach,"9","9",Fluss,"480",
zurcher-strand,Zürichsee,Limmat,"4","4",Fluss,"173",
zurcher-strand,Zürichsee,Schanzengraben,"20","10",Fluss,"494",
oyonne,Le Léman,La Veveyse,"8","8",Fluss,"335",
oyonne,Le Léman,L'Ognona,"10","10",Fluss,"1406",
strandboden-biel,Bielersee,La Thielle,"6","6",Fluss,"60",
strandboden-biel,Bielersee,La Suze,"7","7",Fluss,"283",
strandboden-biel,Bielersee,Aare,"14","4",Fluss,"137",
jona-river-rastplatz,Zürichsee,Wagnerbach,"9","9",Fluss,"1016",
jona-river-rastplatz,Zürichsee,Jona,"7","7",Fluss,"1395",
zuerichsee_staefa_hennm,Zürichsee,Tobelbach,"9","9",Fluss,"94",
signalpain,Lac de Neuchâtel,La Brine,"9","9",Fluss,"1210",
signalpain,Lac de Neuchâtel,Le Bey,"9","9",Fluss,"1428",
signalpain,Lac de Neuchâtel,La Thielle,"6","6",Fluss,"1314",
signalpain,Lac de Neuchâtel,Canal Oriental,"18","8",Fluss,"454",
signalpain,Lac de Neuchâtel,Le Buron,"8","8",Fluss,"96",
baby-plage-ii-geneve,Le Léman,Le Rhône,"1","4",Fluss,"289",
pointe-dareuse,Lac de Neuchâtel,L'Areuse,"7","7",Fluss,"1247",
pointe-dareuse,Lac de Neuchâtel,Le Vivier,"9","7",Fluss,"53",
nidau-strand,Bielersee,La Thielle,"6","6",Fluss,"633",
nidau-strand,Bielersee,La Suze,"7","7",Fluss,"396",
nidau-strand,Bielersee,Aare,"14","4",Fluss,"577",
linthdammweg,Walensee,Flybach,"9","9",Fluss,"475",
linthdammweg,Walensee,Linthkanal,"15","5",Fluss,"1065",
mols-rocks,Walensee,Talbach (Mols),"9","9",Fluss,"538",
mols-rocks,Walensee,Seez,"6","6",Fluss,"865",
mols-rocks,Walensee,Kanal Platz,"18","8",Fluss,"1016",
seeflechsen,Walensee,Flybach,"9","9",Fluss,"1110",
seeflechsen,Walensee,Linthkanal,"15","5",Fluss,"463",
seeflechsen,Walensee,Linth,"5","5",Fluss,"451",
seemuhlestrasse-strand,Walensee,Helgenbach,"10","10",Fluss,"1261",
seemuhlestrasse-strand,Walensee,Seez,"6","6",Fluss,"194",
seemuhlestrasse-strand,Walensee,Kanal Platz,"18","8",Fluss,"1006",
seemuhlestrasse-strand,Walensee,Tscherlerbach,"8","8",Fluss,"899",
muhlehorn-dorf,Walensee,Meerenbach,"9","9",Fluss,"623",
muhlehorn-dorf,Walensee,Rötibach,"9","9",Fluss,"106",
zuerichsee_waedenswil_colomboc_1,Zürichsee,Reidbach,"10","10",Fluss_U,"1229",
camp-des-peches,Bielersee,Canal de la Thielle,"15","5",Fluss,"688",
camp-des-peches,Bielersee,Ruisseau de Vaux,"9","9",Fluss,"291",
delta-park,Thunersee,Kander,"5","5",Fluss,"1289",
le-pierrier,Le Léman,Baye de Clarens,"9","9",Fluss,"433",
pecos-plage,Lac de Neuchâtel,La Brine,"9","9",Fluss,"91",
pecos-plage,Lac de Neuchâtel,Le Bey,"9","9",Fluss,"798",
sundbach-strand,Thunersee,Lombach,"7","7",Fluss,"931",
sundbach-strand,Thunersee,N_P,"9","9",Fluss,"1459",
sundbach-strand,Thunersee,N_P,"10","10",Fluss,"43",
sundbach-strand,Thunersee,Chrutbach,"10","10",Fluss,"165",
wycheley,Brienzersee,Kanal Aarboden,"18","8",Fluss,"1445",
wycheley,Brienzersee,Aare,"6","4",Fluss,"86",
wycheley,Brienzersee,Fulbach,"9","9",Fluss,"261",
wycheley,Brienzersee,Lammbach,"9","9",Fluss,"844",
wycheley,Brienzersee,Glyssibach,"10","10",Fluss,"1200",
camping-gwatt-strand,Thunersee,Kander,"5","5",Fluss,"1374",
boiron,Le Léman,Le Boiron de Nyon,"9","9",Fluss,"1316",
rocky-plage,Le Léman,Le Rhône,"1","4",Fluss,"48",
route-13,Lago Maggiore,Riale Brima,"9","9",Fluss_U,"1320",
murg-bad,Walensee,Murgbach,"8","8",Fluss,"1450",
schmerikon-bahnhof-strand,Zürichsee,Alt Linth,"17","7",Fluss,"271",
schmerikon-bahnhof-strand,Zürichsee,Linthkanal,"5","5",Fluss,"848",
schmerikon-bahnhof-strand,Zürichsee,Steinenbach,"17","7",Fluss,"741",
schmerikon-bahnhof-strand,Zürichsee,Aabach,"7","8",Fluss,"671",
aabach,Zürichsee,Alt Linth,"17","7",Fluss,"425",
aabach,Zürichsee,Linthkanal,"5","5",Fluss,"489",
