OBJVAL,slug,feature_ty,area
Wald,rhein_hemishofen_stolll,r,"1384309"
Wald,unterdsee_ermatingen_brunkem,l,"258200"
Wald,rhein_eglisau_gomringerp,r,"4307"
Wald,rhein_eglisau_gomringerp,r,"341147"
Wald,rhein_eglisau_gomringerp,r,"565668"
Wald,rhein_eglisau_gomringerp,r,"164482"
Wald,rhein_eglisau_gomringerp,r,"514460"
Wald,birs_basel_laderachs,r,"696958"
Wald,birskopfli-rusco,r,"3084"
Wald,birs_basel_grunern,r,"530107"
Wald,aare-limmatspitz,r,"467588"
Wald,toss_winterthur-2,r,"1038531"
Wald,murg_waengi_strickerr,r,"1141"
Wald,birs_reinach_dinuccin,r,"498587"
Wald,aare-limmatspitz,r,"78945"
Wald,aare_brugg_buchie,r,"262"
Wald,toss_winterthur-2,r,"156189"
Wald,aare-limmatspitz,r,"841074"
Wald,aare_brugg_buchie,r,"771493"
Wald,aare-limmatspitz,r,"400566"
Wald,aare_brugg_buchie,r,"585397"
Wald,murg_waengi_strickerr,r,"69265"
Wald,goldach_goldach_schlachterj,r,"247767"
Wald,toss_winterthur-2,r,"2736129"
Wald,toss_kollbrunn_burgid,r,"1765527"
Wald,grendelbach_effretikon_dambonec,r,"950865"
Wald,murg_waengi_strickerr,r,"27697"
Wald,birs_reinach_dinuccin,r,"787773"
Wald,aare_brugg_buchie,r,"219582"
Wald,toss_kollbrunn_burgid,r,"1234725"
Wald,bodensee_thal_schlachterj_1,l,"103774"
Wald,bodensee_altenrhein_caluoria,l,"81169"
Wald,goldach_goldach_schlachterj,r,"168082"
Wald,toss_kollbrunn_burgid,r,"145094"
Wald,thur_schwarzenbach_meiliw,r,"393571"
Wald,katzensee_regensdorfzuerichaffoltern_stueberj,l,"57499"
Wald,thur_schwarzenbach_meiliw,r,"9160"
Wald,thur_schwarzenbach_meiliw,r,"164833"
Wald,thur_schwarzenbach_meiliw,r,"130555"
Wald,sitter_gaiserwald_buehlerf,r,"114040"
Wald,grendelbach_effretikon_dambonec,r,"455620"
Wald,aare_rupperswil_badert,r,"4207375"
Wald,katzensee_regensdorfzuerichaffoltern_stueberj,l,"523050"
Wald,sitter_stgallen_jennya,r,"70688"
Wald,sitter_gaiserwald_buehlerf,r,"232963"
Wald,katzensee_regensdorfzuerichaffoltern_stueberj,l,"128473"
Wald,grendelbach_effretikon_dambonec,r,"195806"
Wald,sitter_stgallen_jennya,r,"460648"
Wald,urnaesch_urnaesch_meierr,r,"167029"
Wald,sitter_stgallen_jennya,r,"237711"
Wald,limmat_unterengstringen_oggierbuhrer,r,"497025"
Wald,limmat_zuerich_wagnerc,r,"219720"
Wald,limmat_zurich_mortensena_meiera,r,"179930"
Wald,limmat_zuerich_jansena,r,"124704"
Wald,katzensee_regensdorfzuerichaffoltern_stueberj,l,"532759"
Wald,glatt_oerlikon_covosn,r,"72803"
Wald,sitter_stgallen_jennya,r,"66249"
Wald,grendelbach_effretikon_dambonec,r,"283278"
Wald,sorne_birse_wwfjura,r,"356638"
Wald,limmat_unterengstringen_oggierbuhrer,r,"8196"
Wald,limmat_zuerich_wagnerc,r,"281799"
Wald,limmat_zurich_mortensena_meiera,r,"78995"
Wald,limmat_zuerich_jansena,r,"83960"
Wald,aare_suhrespitz_badert,r,"392396"
Wald,chriesbach_duebendorf_schneidera,r,"180543"
Wald,limmat_zuerich_suterdglauserp,r,"885970"
Wald,limmat_dietikon_keiserp,r,"553056"
Wald,limmat_unterengstringen_oggierbuhrer,r,"73538"
Wald,aare_suhrespitz_badert,r,"366181"
Wald,limmat_dietikon_keiserp,r,"41736"
Wald,aare_suhrespitz_badert,r,"126365"
Wald,aare_suhrespitz_badert,r,"46404"
Wald,limmat_dietikon_keiserp,r,"119570"
Wald,greifensee_greifensee_simmenc,l,"110091"
Wald,toss_bauma_kurthe,r,"642613"
Wald,toss_bauma_kurthe,r,"437880"
Wald,greifensee_fallanden_meistery,l,"552381"
Wald,greifensee_fallanden_simmenc,l,"479048"
Wald,toss_bauma_kurthe,r,"26750"
Wald,greifensee_fallanden_meistery,l,"698917"
Wald,greifensee_fallanden_simmenc,l,"755181"
Wald,reuss,r,"717357"
Wald,urnaesch_urnaesch_meierr,r,"230521"
Wald,greifensee_greifensee_simmenc,l,"37448"
Wald,greifensee_uster_fischerb_-2,l,"467399"
Wald,greifensee_uster_fischerb_1,l,"467399"
Wald,zuerichsee_zurich_kullg,l,"76795"
Wald,zurichsee-feldeggstr-banningersand,l,"8052"
Wald,urnaesch_urnaesch_meierr,r,"175165"
Wald,urnaesch_urnaesch_meierr,r,"6197"
Wald,zurichsee_kusnachterhorn_thirkell-whitej,l,"75591"
Wald,kusnachter-dorfbach-tobelweg-1-4,r,"239902"
Wald,reuss,r,"110870"
Wald,reuss,r,"444599"
Wald,urnaesch_urnaesch_meierr,r,"168815"
Wald,reuss,r,"446936"
Wald,greifensee_maur_simmenc,l,"12622"
Wald,zurichsee_wollishofen_langendorfm,l,"6425"
Wald,sihl_zuerich_eichenbergerd,r,"423901"
Wald,sihl_zurich_himmelhebern,r,"254932"
Wald,sihl_leimbach_kruegerm,r,"515766"
Wald,sihl_adliswil_oggi_fort,r,"38622"
Wald,urnaesch_urnaesch_meierr,r,"205554"
Wald,greifensee_maur_simmenc,l,"747761"
Wald,urnaesch_urnaesch_meierr,r,"444724"
Wald,urnaesch_urnaesch_meierr,r,"6898"
Wald,zurichsee_kusnachterhorn_thirkell-whitej,l,"104864"
Wald,kusnachter-dorfbach-tobelweg-1-4,r,"695441"
Wald,reuss,r,"193131"
Wald,greifensee_maur_simmenc,l,"44"
Wald,sihl_adliswil_oggi_fort,r,"308679"
Wald,sihl_adliswil_oggi_fort,r,"1577"
Wald,pfaffner_rothrist_ischik,r,"248304"
Wald,pfaffner_rothrist_ischik,r,"1267515"
Wald,jona_tann_nusslin,r,"74601"
Wald,toss_bauma_kurthe,r,"1630986"
Wald,pfaffner_rothrist_ischik,r,"127050"
Wald,zuerichsee_maennedorf_vanderkaadene,l,"2509"
Wald,jona_tann_nusslin,r,"72213"
Wald,jona_tann_nusslin,r,"435188"
Wald,jona_tann_nusslin,r,"245464"
Wald,evole-plage,l,"674736"
Wald,plage-de-serriere,l,"626960"
Wald,mullermatte,l,"2161999"
Wald,schusspark-strand,r,"553416"
Wald,spackmatt,r,"1275369"
Wald,strandboden-biel,l,"1659605"
Wald,nidau-strand,l,"767344"
Wald,camp-des-peches,l,"118928"
Wald,ligerz-strand,l,"950160"
Wald,hauterive-petite-plage,l,"835652"
Wald,la-robella,p,"3786316"
Wald,sorne_birse_wwfjura,r,"776323"
Wald,sihl_zuerich_eichenbergerd,r,"2209938"
Wald,sihl_zurich_himmelhebern,r,"1933358"
Wald,sihl_leimbach_kruegerm,r,"1277256"
Wald,sihl_adliswil_oggi_fort,r,"724952"
Wald,reuss_hunenberg_eberhardy,r,"94343"
Wald,gasi-strand,l,"168474"
Wald,linthdammweg,r,"928580"
Wald,seeflechsen,l,"261391"
Wald,flibach-river-right-bank,l,"1037111"
Wald,linth_mollis,r,"795398"
Wald,zuerichsee_staefa_hennm,l,"46301"
Wald,reuss_hunenberg_eberhardy,r,"14932"
Wald,zuerichsee_staefa_hennm,l,"330558"
Wald,schmerikon-bahnhof-strand,l,"369716"
Wald,aabach,l,"216320"
Wald,schmerikon-bahnhof-strand,l,"454242"
Wald,aabach,l,"418742"
Wald,spackmatt,r,"28700"
Wald,langete_langenthal_geiserm,r,"1277816"
Wald,langete_langenthal_geiserm,r,"73441"
Wald,spackmatt,r,"95520"
Wald,schmerikon-bahnhof-strand,l,"437005"
Wald,aabach,l,"1202616"
Wald,reuss_hunenberg_eberhardy,r,"9031"
Wald,spackmatt,r,"72188"
Wald,zuerichsee_richterswil_benkoem_2,l,"434524"
Wald,zuerichsee_waedenswil_colomboc_1,l,"434524"
Wald,lorze_baar_blarere,r,"2080803"
Wald,spackmatt,r,"145299"
Wald,spackmatt,r,"114653"
Wald,sihl_menzingen_kucharska_magdalena,r,"396979"
Wald,pfafikon-bad,l,"181034"
Wald,pfafikon-bad,l,"63250"
Wald,aare-solothurn-lido-strand,r,"1858957"
Wald,aare_solothurn_nguyena,r,"1812111"
Wald,pfafikon-bad,l,"69591"
Wald,lorze_baar_blarere,r,"105846"
Wald,sihl_menzingen_kucharska_magdalena,r,"87981"
Wald,sihl_menzingen_kucharska_magdalena,r,"495142"
Wald,emme_utzenstorf_gruttert,r,"11669"
Wald,emme_biberist_jennim,r,"1580335"
Wald,emme_biberist_jennim,r,"180569"
Wald,schusspark-strand,r,"13462"
Wald,gasi-strand,l,"134675"
Wald,linthdammweg,r,"170366"
Wald,seeflechsen,l,"170366"
Wald,flibach-river-right-bank,l,"170366"
Wald,linth_mollis,r,"170366"
Wald,linthdammweg,r,"61737"
Wald,linth_mollis,r,"405"
Wald,aare-port,r,"148600"
Wald,schusspark-strand,r,"673803"
Wald,brugg-be-buren-bsg-standort,r,"813691"
Wald,aare_post,r,"165099"
Wald,emme_utzenstorf_gruttert,r,"909087"
Wald,walensee_walenstadt_wysse,l,"717251"
Wald,mols-rocks,l,"621899"
Wald,seemuhlestrasse-strand,l,"25700"
Wald,seez_spennwiesenbrucke,r,"717251"
Wald,seez,r,"717251"
Wald,sempachersee_sempach_tampec,l,"135338"
Wald,untertenzen,l,"30840"
Wald,muhlehorn-dorf,l,"150082"
Wald,emme_utzenstorf_gruttert,r,"594555"
Wald,murg-bad,l,"59455"
Wald,zugersee_immensee_guedesd,l,"1630549"
Wald,sempachersee_sempach_tampec,l,"1028"
Wald,aare-port,r,"2180497"
Wald,brugg-be-buren-bsg-standort,r,"890011"
Wald,aare_post,r,"2183636"
Wald,schutzenmatte,r,"359356"
Wald,ligerz-strand,l,"290914"
Wald,reuss_stkarli_linigersimhofy,r,"96077"
Wald,reuss_stkarli_linigersimhofy,r,"400832"
Wald,bielersee_vinelz_fankhausers,l,"167875"
Wald,luscherz-plage,l,"1415475"
Wald,luscherz-two,l,"1712936"
Wald,beich,r,"32455"
Wald,vierwaldstattersee_weggis_schoberls_1,l,"84707"
Wald,vierwaldstattersee_weggis_schoberls_2,l,"84707"
Wald,beich,r,"554628"
Wald,reuss_stkarli_linigersimhofy,r,"653704"
Wald,reuss_stkarli_linigersimhofy,r,"35077"
Wald,vierwaldstattersee_weggis_schoberls_1,l,"157472"
Wald,vierwaldstattersee_weggis_schoberls_2,l,"186085"
Wald,vierwaldstattersee_weggis_schoberls_3,l,"266570"
Wald,beich,r,"669175"
Wald,bielersee_vinelz_fankhausers,l,"195155"
Wald,luscherz-plage,l,"483229"
Wald,luscherz-two,l,"442344"
Wald,bielersee_vinelz_fankhausers,l,"140794"
Wald,erlach-camping-strand,l,"365887"
Wald,camp-des-peches,l,"266420"
Wald,gals-reserve,l,"1127391"
Wald,beich,r,"237099"
Wald,aare_bern_gerberm,r,"80261"
Wald,gummligrabbe,r,"45317"
Wald,mannewil,r,"97600"
Wald,gasi-strand,l,"1648652"
Wald,walensee_walenstadt_wysse,l,"38037"
Wald,untertenzen,l,"475758"
Wald,linthdammweg,r,"352814"
Wald,mols-rocks,l,"1247239"
Wald,seeflechsen,l,"1284472"
Wald,muhlehorn-dorf,l,"1489578"
Wald,murg-bad,l,"1208672"
Wald,flibach-river-right-bank,l,"810102"
Wald,linth_route9brucke,r,"2131202"
Wald,seez_spennwiesenbrucke,r,"845633"
Wald,linth_mollis,r,"573483"
Wald,seez,r,"251913"
Wald,gummligrabbe,r,"1068357"
Wald,mannewil,r,"2754655"
Wald,aare_bern_gerberm,r,"7318"
Wald,hauterive-petite-plage,l,"96968"
Wald,aare_bern_gerberm,r,"726564"
Wald,bern-fahrstrasse,r,"1467657"
Wald,aare_bern_scheurerk,r,"1386892"
Wald,aarezufluss_bern_scheurerk,r,"1387810"
Wald,impromptu_cudrefin,l,"451940"
Wald,neuenburgersee_cudrefin_mattera,l,"360428"
Wald,bern-fahrstrasse,r,"437683"
Wald,aare_bern_scheurerk,r,"141030"
Wald,aarezufluss_bern_scheurerk,r,"130173"
Wald,neuenburgersee_cudrefin_mattera,l,"38978"
Wald,pointe-dareuse,l,"252775"
Wald,aare_koniz_hoppej,r,"391295"
Wald,bern-tiergarten,r,"391295"
Wald,aare_elfenau_cataldiv,r,"391295"
Wald,aare_kehrsatz_stolten,r,"82025"
Wald,aare_elfenau_cataldiv,r,"34019"
Wald,aare_bern_caveltin,r,"44322"
Wald,aare_koniz_hoppej,r,"410553"
Wald,bern-tiergarten,r,"299731"
Wald,aare_kehrsatz_stolten,r,"503213"
Wald,aare_elfenau_cataldiv,r,"618693"
Wald,aare_bern_caveltin,r,"809237"
Wald,aare_kehrsatz_stolten,r,"0"
Wald,aare_koniz_hoppej,r,"211361"
Wald,bern-tiergarten,r,"437011"
Wald,aare_elfenau_cataldiv,r,"237611"
Wald,aare_koniz_hoppej,r,"57732"
Wald,bern-tiergarten,r,"93199"
Wald,aare_elfenau_cataldiv,r,"171984"
Wald,aare_bern_caveltin,r,"305560"
Wald,oberi-chlihochstetten,r,"1264321"
Wald,aare_kehrsatz_stolten,r,"130434"
Wald,oberi-chlihochstetten,r,"16754"
Wald,sense_torishaus_g-cubes,r,"263405"
Wald,nouvelle-plage,l,"349747"
Wald,sense_torishaus_g-cubes,r,"353259"
Wald,sense_torishaus_g-cubes,r,"86960"
Wald,rhein_domatems_foppa_f,r,"31304"
Wald,vorderrhein_disentis_schmidn,r,"3185193"
Wald,rhein_domatems_foppa_f,r,"18453"
Wald,plage-de-cheyres,l,"131886"
Wald,ruisseau-de-la-croix-plage,l,"131886"
Wald,plage-de-cheyres,l,"3541"
Wald,ruisseau-de-la-croix-plage,l,"129528"
Wald,la-petite-plage,l,"479729"
Wald,signalpain,l,"267288"
Wald,la-petite-plage,l,"54166"
Wald,signalpain,l,"221305"
Wald,pecos-plage,l,"363417"
Wald,zulg_steffisburg_schmassmanne,r,"27211"
Wald,zulg_steffisburg_schmassmanne,r,"45023"
Wald,zulg_steffisburg_schmassmanne,r,"251830"
Wald,wycheley,l,"140674"
Wald,delta-park,l,"219468"
Wald,camping-gwatt-strand,l,"218381"
Wald,thunersee_spiez_meierd_1,l,"636878"
Wald,delta-park,l,"590914"
Wald,camping-gwatt-strand,l,"293005"
Wald,vorderrhein_disentis_schmidn,r,"44447"
Wald,thunersee_spiez_meierd_1,l,"34693"
Wald,augustmutzenbergstrandweg,l,"166664"
Wald,la-berra,p,"13458"
Wald,augustmutzenbergstrandweg,l,"199284"
Wald,augustmutzenbergstrandweg,l,"262035"
