OBJEKTART,slug,feature_ty,area
Schul- und Hochschulareal,rhein_basel_hungerbuehlern,r,"3338"
Schul- und Hochschulareal,rhein_basel,r,"3770"
Schul- und Hochschulareal,bern-fahrstrasse,r,"4901"
Schul- und Hochschulareal,aare_bern_scheurerk,r,"4901"
Schul- und Hochschulareal,aarezufluss_bern_scheurerk,r,"4901"
Schul- und Hochschulareal,la-petite-plage,l,"8178"
Schul- und Hochschulareal,signalpain,l,"8178"
Schul- und Hochschulareal,la-thiele_le-mujon_confluence,r,"8178"
Schul- und Hochschulareal,la-thiele_le-mujon_confluence,r,"19360"
Schul- und Hochschulareal,bern-fahrstrasse,r,"8229"
Schul- und Hochschulareal,aare_bern_scheurerk,r,"8229"
Schul- und Hochschulareal,aarezufluss_bern_scheurerk,r,"8229"
Schul- und Hochschulareal,bodensee_arbon_moslis,l,"13003"
Schul- und Hochschulareal,bodensee_steinach_dolder_a,l,"13003"
Schul- und Hochschulareal,sihl_zuerich_eggerskoehlingera,r,"93"
Schul- und Hochschulareal,zuerichsee_richterswil_benkoem_2,l,"21360"
Schul- und Hochschulareal,zuerichsee_waedenswil_colomboc_1,l,"21360"
Schul- und Hochschulareal,zurichsee_wollishofen_langendorfm,l,"4737"
Schul- und Hochschulareal,sihl_zuerich_eichenbergerd,r,"4737"
Schul- und Hochschulareal,sihl_zurich_himmelhebern,r,"4737"
Schul- und Hochschulareal,lorze_baar_blarere,r,"19209"
Schul- und Hochschulareal,zurcher-strand,l,"765"
Schul- und Hochschulareal,zuerichsee_zurich_kullg,l,"765"
Schul- und Hochschulareal,zurichsee-feldeggstr-banningersand,l,"765"
Schul- und Hochschulareal,pont-sous-terre,r,"2126"
Schul- und Hochschulareal,zurcher-strand,l,"1472"
Schul- und Hochschulareal,zurichsee-feldeggstr-banningersand,l,"1472"
Schul- und Hochschulareal,sihl_zuerich_scherfs,r,"1472"
Schul- und Hochschulareal,zulg_steffisburg_schmassmanne,r,"8620"
Schul- und Hochschulareal,foce-del-cassarate,r,"9263"
Schul- und Hochschulareal,lido,l,"9263"
Schul- und Hochschulareal,lugano-centro,l,"9263"
Schul- und Hochschulareal,spiaggia-parco-ciani,l,"9263"
Schul- und Hochschulareal,parc-des-pierrettes,l,"12896"
Schul- und Hochschulareal,plage-de-st-sulpice,l,"12896"
Schul- und Hochschulareal,saint-sulpice,l,"12896"
Schul- und Hochschulareal,limmat_unterengstringen_oggierbuhrer,r,"11425"
Schul- und Hochschulareal,rhein_basel,r,"8535"
Schul- und Hochschulareal,sihl_zuerich_eggerskoehlingera,r,"4429"
Schul- und Hochschulareal,zurcher-strand,l,"4429"
Schul- und Hochschulareal,zurichsee-feldeggstr-banningersand,l,"3243"
Schul- und Hochschulareal,sihl_zuerich_scherfs,r,"4429"
Schul- und Hochschulareal,grendelbach_effretikon_dambonec,r,"19649"
Schul- und Hochschulareal,glatt_oerlikon_covosn,r,"7928"
Schul- und Hochschulareal,zurcher-strand,l,"1247"
Schul- und Hochschulareal,reuss_stkarli_linigersimhofy,r,"11214"
Schul- und Hochschulareal,augustmutzenbergstrandweg,l,"3354"
Schul- und Hochschulareal,mullermatte,l,"1620"
Schul- und Hochschulareal,strandboden-biel,l,"1620"
Schul- und Hochschulareal,greifensee_greifensee_simmenc,l,"12"
Schul- und Hochschulareal,pont-sous-terre,r,"14396"
Schul- und Hochschulareal,toss_bauma_kurthe,r,"14387"
Schul- und Hochschulareal,chriesbach_duebendorf_schneidera,r,"18202"
Schul- und Hochschulareal,arve_carouge_battistellak,r,"27251"
Schul- und Hochschulareal,zurichsee_wollishofen_langendorfm,l,"2418"
Schul- und Hochschulareal,arve_carouge_battistellak,r,"8527"
Schul- und Hochschulareal,rhein_basel,r,"1143"
Schul- und Hochschulareal,villa-barton,l,"1654"
Schul- und Hochschulareal,jardin-botanique,l,"1654"
Schul- und Hochschulareal,chriesbach_duebendorf_schneidera,r,"3548"
Schul- und Hochschulareal,grendelbach_effretikon_dambonec,r,"29180"
Schul- und Hochschulareal,emme_biberist_jennim,r,"7272"
Schul- und Hochschulareal,sitter_stgallen_steinbrunnerf,r,"974"
Schul- und Hochschulareal,foce-del-cassarate,r,"10022"
Schul- und Hochschulareal,lido,l,"8685"
Schul- und Hochschulareal,spiaggia-parco-ciani,l,"9672"
Schul- und Hochschulareal,lorze_baar_blarere,r,"24433"
Schul- und Hochschulareal,aare_suhrespitz_badert,r,"11238"
Schul- und Hochschulareal,zuerichsee_zurich_kullg,l,"2409"
Schul- und Hochschulareal,zurichsee-feldeggstr-banningersand,l,"2409"
Schul- und Hochschulareal,villa-barton,l,"746"
Schul- und Hochschulareal,jardin-botanique,l,"746"
Schul- und Hochschulareal,limmat_zurich_mortensena_meiera,r,"3714"
Schul- und Hochschulareal,limmat_zuerich_suterdglauserp,r,"3714"
Schul- und Hochschulareal,limmat_zuerich_jansena,r,"3714"
Schul- und Hochschulareal,limmat_zuerich_wagnerc,r,"16130"
Schul- und Hochschulareal,limmat_zurich_mortensena_meiera,r,"16130"
Schul- und Hochschulareal,limmat_zuerich_jansena,r,"16119"
Schul- und Hochschulareal,sihl_zuerich_eggerskoehlingera,r,"450"
Schul- und Hochschulareal,sihl_zuerich_scherfs,r,"450"
Schul- und Hochschulareal,aare_bern_gerberm,r,"13057"
Schul- und Hochschulareal,bern-fahrstrasse,r,"13057"
Schul- und Hochschulareal,aare_bern_scheurerk,r,"13057"
Schul- und Hochschulareal,aarezufluss_bern_scheurerk,r,"13057"
Schul- und Hochschulareal,spackmatt,r,"19931"
Schul- und Hochschulareal,san-nazzaro-gambarogno,l,"3095"
Schul- und Hochschulareal,sempachersee_sempach_tampec,l,"10728"
Schul- und Hochschulareal,la-petite-plage,l,"1022"
Schul- und Hochschulareal,signalpain,l,"1022"
Schul- und Hochschulareal,la-thiele_le-mujon_confluence,r,"1022"
Schul- und Hochschulareal,greifensee_fallanden_meistery,l,"12842"
Schul- und Hochschulareal,greifensee_fallanden_simmenc,l,"12841"
Schul- und Hochschulareal,sitter_stgallen_steinbrunnerf,r,"379"
Schul- und Hochschulareal,sihl_zuerich_eggerskoehlingera,r,"6435"
Schul- und Hochschulareal,zurcher-strand,l,"6435"
Schul- und Hochschulareal,sihl_zuerich_scherfs,r,"6435"
Schul- und Hochschulareal,zuerichsee_maennedorf_vanderkaadene,l,"2132"
Schul- und Hochschulareal,leuk-mattenstrasse,r,"3174"
Schul- und Hochschulareal,sihl_zuerich_eggerskoehlingera,r,"10834"
Schul- und Hochschulareal,sihl_zuerich_scherfs,r,"10834"
Schul- und Hochschulareal,bern-fahrstrasse,r,"16771"
Schul- und Hochschulareal,aare_bern_scheurerk,r,"16771"
Schul- und Hochschulareal,aarezufluss_bern_scheurerk,r,"16771"
Schul- und Hochschulareal,luscherz-plage,l,"867"
Schul- und Hochschulareal,luscherz-two,l,"867"
Schul- und Hochschulareal,greifensee_fallanden_meistery,l,"34269"
Schul- und Hochschulareal,greifensee_fallanden_simmenc,l,"34269"
Schul- und Hochschulareal,la-morges,l,"3578"
Schul- und Hochschulareal,la-robella,p,"648"
Schul- und Hochschulareal,zurichsee_wollishofen_langendorfm,l,"1287"
Schul- und Hochschulareal,sihl_zurich_himmelhebern,r,"1287"
Schul- und Hochschulareal,zuerichsee_zurich_kullg,l,"1287"
Schul- und Hochschulareal,zurichsee-feldeggstr-banningersand,l,"1287"
Schul- und Hochschulareal,verbier,p,"2280"
Schul- und Hochschulareal,aare_bern_scheurerk,r,"2091"
Schul- und Hochschulareal,aarezufluss_bern_scheurerk,r,"2091"
Schul- und Hochschulareal,foce-del-cassarate,r,"542"
Schul- und Hochschulareal,lugano-centro,l,"5024"
Schul- und Hochschulareal,spiaggia-parco-ciani,l,"3879"
Schul- und Hochschulareal,via-brunari-spiaggia,r,"2037"
Schul- und Hochschulareal,via-mirasole-spiaggia,r,"2037"
Schul- und Hochschulareal,canale-saleggi,r,"2037"
Schul- und Hochschulareal,rhein_basel,r,"895"
Schul- und Hochschulareal,schusspark-strand,r,"9640"
Schul- und Hochschulareal,rhein_hemishofen_stolll,r,"1412"
Schul- und Hochschulareal,zurichsee_kusnachterhorn_thirkell-whitej,l,"11754"
Schul- und Hochschulareal,kusnachter-dorfbach-tobelweg-1-4,r,"11754"
Schul- und Hochschulareal,anarchy-beach,l,"10221"
Schul- und Hochschulareal,oyonne,l,"10221"
Schul- und Hochschulareal,bain-des-dames,l,"10221"
Schul- und Hochschulareal,le-port,l,"10221"
Schul- und Hochschulareal,ognonnaz-1,r,"10221"
Schul- und Hochschulareal,zuerichsee_maennedorf_vanderkaadene,l,"33811"
Schul- und Hochschulareal,via-mirasole-spiaggia,r,"7177"
Schul- und Hochschulareal,canale-saleggi,r,"7177"
Schul- und Hochschulareal,toss_kollbrunn_burgid,r,"2021"
Schul- und Hochschulareal,aare_koniz_hoppej,r,"14150"
Schul- und Hochschulareal,bern-tiergarten,r,"14150"
Schul- und Hochschulareal,aare_elfenau_cataldiv,r,"12290"
Schul- und Hochschulareal,birs_reinach_dinuccin,r,"1217"
Schul- und Hochschulareal,villa-barton,l,"514"
Schul- und Hochschulareal,baby-plage-geneva,l,"514"
Schul- und Hochschulareal,baby-plage-ii-geneve,l,"93"
Schul- und Hochschulareal,jardin-botanique,l,"514"
Schul- und Hochschulareal,toss_bauma_kurthe,r,"27264"
Schul- und Hochschulareal,magadino-lido,l,"4028"
Schul- und Hochschulareal,vira-gambarogno,l,"4028"
Schul- und Hochschulareal,vira-spiaggia-left-of-river,l,"4028"
Schul- und Hochschulareal,sitter_stgallen_steinbrunnerf,r,"17092"
Schul- und Hochschulareal,rhein_basel,r,"159"
Schul- und Hochschulareal,hafeli,l,"16062"
Schul- und Hochschulareal,sitter_stgallen_steinbrunnerf,r,"495"
Schul- und Hochschulareal,limmat_zuerich_suterdglauserp,r,"111054"
Schul- und Hochschulareal,aare_bern_gerberm,r,"11641"
Schul- und Hochschulareal,greifensee_fallanden_simmenc,l,"13"
Schul- und Hochschulareal,baby-plage-geneva,l,"2703"
Schul- und Hochschulareal,baby-plage-ii-geneve,l,"2703"
Schul- und Hochschulareal,rocky-plage,l,"2703"
Schul- und Hochschulareal,strandboden-biel,l,"848"
Schul- und Hochschulareal,pont-sous-terre,r,"482"
Schul- und Hochschulareal,zurcher-strand,l,"6055"
Schul- und Hochschulareal,zuerichsee_zurich_kullg,l,"4754"
Schul- und Hochschulareal,zurichsee-feldeggstr-banningersand,l,"6055"
Schul- und Hochschulareal,sihl_zuerich_scherfs,r,"6055"
Schul- und Hochschulareal,bodensee_horn_huberm,l,"9719"
Schul- und Hochschulareal,quai-maria-belgia,l,"2170"
Schul- und Hochschulareal,oyonne,l,"2170"
Schul- und Hochschulareal,arabie,l,"2170"
Schul- und Hochschulareal,veveyse,l,"2170"
Schul- und Hochschulareal,ognonnaz-1,r,"2170"
Schul- und Hochschulareal,baby-plage-geneva,l,"316"
Schul- und Hochschulareal,baby-plage-ii-geneve,l,"316"
Schul- und Hochschulareal,rocky-plage,l,"316"
Schul- und Hochschulareal,chriesbach_duebendorf_schneidera,r,"6731"
Schul- und Hochschulareal,sihl_zuerich_eggerskoehlingera,r,"501"
Schul- und Hochschulareal,sihl_zuerich_eggerskoehlingera,r,"38736"
Schul- und Hochschulareal,zurcher-strand,l,"36317"
Schul- und Hochschulareal,zurichsee-feldeggstr-banningersand,l,"3613"
Schul- und Hochschulareal,sihl_zuerich_scherfs,r,"38736"
Schul- und Hochschulareal,sihl_zuerich_eggerskoehlingera,r,"3667"
Schul- und Hochschulareal,zurcher-strand,l,"3667"
Schul- und Hochschulareal,zurichsee-feldeggstr-banningersand,l,"1667"
Schul- und Hochschulareal,sihl_zuerich_scherfs,r,"3667"
Schul- und Hochschulareal,sihl_zuerich_eggerskoehlingera,r,"22954"
Schul- und Hochschulareal,zurcher-strand,l,"14486"
Schul- und Hochschulareal,sihl_zuerich_scherfs,r,"22954"
Schul- und Hochschulareal,sihl_zuerich_eggerskoehlingera,r,"15921"
Schul- und Hochschulareal,sihl_zuerich_eggerskoehlingera,r,"9855"
Schul- und Hochschulareal,sihl_zuerich_eggerskoehlingera,r,"180"
Schul- und Hochschulareal,limmat_zuerich_suterdglauserp,r,"25040"
Schul- und Hochschulareal,pont-sous-terre,r,"363"
Schul- und Hochschulareal,schmerikon-bahnhof-strand,l,"7610"
Schul- und Hochschulareal,aabach,l,"7610"
Schul- und Hochschulareal,la-thiele_le-mujon_confluence,r,"9575"
Schul- und Hochschulareal,sihl_zuerich_eggerskoehlingera,r,"856"
Schul- und Hochschulareal,sihl_zuerich_scherfs,r,"856"
Schul- und Hochschulareal,glatt_oerlikon_covosn,r,"32189"
Schul- und Hochschulareal,reuss_stkarli_linigersimhofy,r,"395"
Schul- und Hochschulareal,tolochenaz,l,"3903"
Schul- und Hochschulareal,langete_langenthal_geiserm,r,"22902"
Schul- und Hochschulareal,les-vieux-ronquoz,r,"3319"
Schul- und Hochschulareal,sorne_birse_wwfjura,r,"10018"
Schul- und Hochschulareal,schusspark-strand,r,"19406"
Schul- und Hochschulareal,rhein_basel_hungerbuehlern,r,"5032"
Schul- und Hochschulareal,rhein-beach-tinguely,r,"3642"
Schul- und Hochschulareal,rhein_basel,r,"5032"
Schul- und Hochschulareal,limmat_zuerich_suterdglauserp,r,"1077"
Schul- und Hochschulareal,gasi-strand,l,"456"
Schul- und Hochschulareal,linthdammweg,r,"6771"
Schul- und Hochschulareal,seeflechsen,l,"6771"
Schul- und Hochschulareal,flibach-river-right-bank,l,"6771"
Schul- und Hochschulareal,linth_mollis,r,"6771"
Schul- und Hochschulareal,langete_langenthal_geiserm,r,"19742"
Schul- und Hochschulareal,baby-plage-geneva,l,"2291"
Schul- und Hochschulareal,baby-plage-ii-geneve,l,"2291"
Schul- und Hochschulareal,rocky-plage,l,"2291"
Schul- und Hochschulareal,baby-plage-geneva,l,"920"
Schul- und Hochschulareal,baby-plage-ii-geneve,l,"920"
Schul- und Hochschulareal,rocky-plage,l,"920"
Schul- und Hochschulareal,glatt_oerlikon_covosn,r,"15820"
Schul- und Hochschulareal,thun-strandbad,l,"8014"
Schul- und Hochschulareal,reuss_stkarli_linigersimhofy,r,"788"
Schul- und Hochschulareal,limmat_zurich_mortensena_meiera,r,"2859"
Schul- und Hochschulareal,limmat_zuerich_jansena,r,"2859"
Schul- und Hochschulareal,reuss_stkarli_linigersimhofy,r,"383"
Schul- und Hochschulareal,bern-tiergarten,r,"51248"
Schul- und Hochschulareal,limmat_zurich_mortensena_meiera,r,"3902"
Schul- und Hochschulareal,limmat_zuerich_jansena,r,"3902"
Schul- und Hochschulareal,rhein_basel_hungerbuehlern,r,"29435"
Schul- und Hochschulareal,rhein-beach-tinguely,r,"29435"
Schul- und Hochschulareal,birskopfli-rusco,r,"29435"
Schul- und Hochschulareal,rhein_basel,r,"29435"
Schul- und Hochschulareal,sitter_stgallen_steinbrunnerf,r,"52214"
Schul- und Hochschulareal,sihl_zuerich_eggerskoehlingera,r,"20839"
Schul- und Hochschulareal,sihl_zuerich_eggerskoehlingera,r,"634"
Schul- und Hochschulareal,sihl_zuerich_eggerskoehlingera,r,"6031"
Schul- und Hochschulareal,sihl_zuerich_scherfs,r,"6031"
Schul- und Hochschulareal,sihl_zuerich_eggerskoehlingera,r,"477"
