NAMN,NAMN_2,LAUFNR,BREITE,KLASSE,OBJVAL,slug
Brienzersee,Lütschine,"0","6","6",Fluss,hafeli
Brienzersee,Aare,"0","5","4",Fluss,hafeli
Brienzersee,Lütschine,"0","6","6",Fluss,hafeli
Brienzersee,Kanal Aarboden,"0","18","8",Fluss,oben-am-see
Brienzersee,Kanal Aarboden,"0","18","8",Fluss,wycheley
Brienzersee,Kanal Aarboden,"0","18","8",Fluss,oben-am-see
Brienzersee,Kanal Aarboden,"0","18","8",Fluss,wycheley
Brienzersee,Aare,"0","6","4",Fluss,oben-am-see
Brienzersee,Aare,"0","6","4",Fluss,wycheley
Brienzersee,Aare,"0","6","4",Fluss,oben-am-see
Brienzersee,Aare,"0","6","4",Fluss,wycheley
Brienzersee,Fulbach,"0","9","9",Fluss,oben-am-see
Brienzersee,Fulbach,"0","9","9",Fluss,wycheley
Brienzersee,Lammbach,"0","9","9",Fluss,oben-am-see
Brienzersee,Lammbach,"0","9","9",Fluss,wycheley
Brienzersee,Fulbach,"0","9","9",Fluss,oben-am-see
Brienzersee,Fulbach,"0","9","9",Fluss,wycheley
Brienzersee,Glyssibach,"0","10","10",Fluss,oben-am-see
Brienzersee,Glyssibach,"0","10","10",Fluss,wycheley
Brienzersee,Lammbach,"0","9","9",Fluss,oben-am-see
Brienzersee,Lammbach,"0","9","9",Fluss,wycheley
Brienzersee,Glyssibach,"0","10","10",Fluss,oben-am-see
Brienzersee,Glyssibach,"0","10","10",Fluss,wycheley
Brienzersee,Aare,"0","5","4",Fluss,hafeli
Lago Maggiore,Riale Brima,"0","9","9",Fluss_U,route-13
Lago Maggiore,Riale Brima,"0","9","9",Fluss_U,ascona-traghetto-spiaggia
Lago Maggiore,Maggia,"0","4","5",Fluss,sentiero-giro-del-golf-spiaggia
Lago Maggiore,Riale Brima,"0","9","9",Fluss_U,route-13
Lago Maggiore,Riale Brima,"0","9","9",Fluss_U,ascona-traghetto-spiaggia
Lago Maggiore,N_P,"0","10","10",Fluss,isole-di-brissago-porto
Lago Maggiore,N_P,"0","10","10",Fluss,isole-di-brissago-porto
Lago Maggiore,N_P,"0","10","10",Fluss,isole-di-brissago-porto
Lago Maggiore,N_P,"0","10","10",Fluss,isole-di-brissago-porto
Lago Maggiore,N_P,"0","10","10",Fluss,pacha-mama-gerra
Lago Maggiore,N_P,"0","10","10",Fluss,gerra-gambarogno
Lago Maggiore,N_P,"0","10","10",Fluss,san-nazzaro-gambarogno
Lago Maggiore,N_P,"0","9","9",Fluss,pacha-mama-gerra
Lago Maggiore,N_P,"0","9","9",Fluss,gerra-gambarogno
Lago Maggiore,N_P,"0","9","9",Fluss,san-nazzaro-gambarogno
