OBJVAL,slug,feature_ty,length
HauptStrAB6,seez_spennwiesenbrucke,r,"3251"
VerbindStr6,spiaggia-parco-ciani,l,"500"
VerbindStr6,spiaggia-parco-ciani,l,"343"
Fahrstraes,parc-des-pierrettes,l,"197"
Fahrstraes,parc-des-pierrettes,l,"849"
VerbindStr4,vidy,l,"811"
VerbindStr4,vidy,l,"246"
VerbindStr4,vidy,l,"841"
VerbindStr4,vidy,l,"338"
VerbindStr4,vidy,l,"151"
VerbindStr4,vidy,l,"284"
Autob_Ri,flibach-river-right-bank,l,"2608"
HauptStrAB6,aare-port,r,"698"
HauptStrAB6,aare-port,r,"2545"
HauptStrAB6,golene-gudo,r,"2787"
Fussweg,aare_suhrespitz_badert,r,"186"
Autostr,zulg_steffisburg_schmassmanne,r,"731"
Fahrstraes,la-robella,p,"1572"
Fahrstraes,la-robella,p,"3749"
Fahrstraes,la-robella,p,"2470"
Fahrstraes,la-robella,p,"1563"
Fahrstraes,la-robella,p,"434"
VerbindStr6,limmat_unterengstringen_oggierbuhrer,r,"3202"
VerbindStr6,limmat_unterengstringen_oggierbuhrer,r,"1430"
NebenStr3,lacleman_gland_lecoanets,l,"448"
NebenStr3,lacleman_gland_lecoanets,l,"482"
HauptStrAB6,aare-limmatspitz,r,"2742"
HauptStrAB6,aare-limmatspitz,r,"381"
Fahrstraes,signalpain,l,"173"
Fussweg,aare-port,r,"248"
NebenStr3,birskopfli-rusco,r,"386"
NebenStr3,birskopfli-rusco,r,"271"
NebenStr3,birskopfli-rusco,r,"1134"
NebenStr3,birskopfli-rusco,r,"1995"
NebenStr3,birskopfli-rusco,r,"1310"
NebenStr3,birskopfli-rusco,r,"18"
NebenStr3,birskopfli-rusco,r,"1057"
NebenStr3,birskopfli-rusco,r,"825"
NebenStr3,birskopfli-rusco,r,"601"
NebenStr3,birskopfli-rusco,r,"500"
NebenStr3,birskopfli-rusco,r,"101"
NebenStr3,birskopfli-rusco,r,"61"
NebenStr3,birskopfli-rusco,r,"187"
HauptStrAB6,lacleman_gland_kubela,l,"1840"
HauptStrAB6,lacleman_gland_kubela,l,"344"
HauptStrAB6,lacleman_gland_kubela,l,"474"
NebenStr3,plage-de-dorigny,l,"524"
NebenStr3,plage-de-dorigny,l,"413"
NebenStr3,plage-de-dorigny,l,"1806"
Autob_Ri,seeflechsen,l,"2865"
Fahrstraes,linthdammweg,r,"1114"
Fahrstraes,linthdammweg,r,"1846"
Fahrstraes,linthdammweg,r,"44"
HauptStrAB6,wycheley,l,"1491"
HauptStrAB6,wycheley,l,"666"
HauptStrAB6,wycheley,l,"523"
VerbindStr6,sihl_zuerich_scherfs,r,"356"
VerbindStr6,sihl_zuerich_scherfs,r,"356"
VerbindStr6,sihl_zuerich_scherfs,r,"701"
VerbindStr6,sihl_zuerich_scherfs,r,"849"
VerbindStr6,sihl_zuerich_scherfs,r,"1457"
VerbindStr6,sihl_zuerich_scherfs,r,"1233"
VerbindStr6,sihl_zuerich_scherfs,r,"418"
VerbindStr6,sihl_zuerich_scherfs,r,"212"
VerbindStr6,sihl_zuerich_scherfs,r,"223"
VerbindStr6,sihl_zuerich_scherfs,r,"460"
VerbindStr6,morgins,p,"3357"
VerbindStr6,weissenau-neuhaus,l,"3159"
Fahrstraes,nidau-strand,l,"743"
Fahrstraes,nidau-strand,l,"1122"
Fahrstraes,nidau-strand,l,"327"
Fahrstraes,nidau-strand,l,"655"
NebenStr3,leuk-mattenstrasse,r,"2063"
NebenStr3,leuk-mattenstrasse,r,"764"
NebenStr3,leuk-mattenstrasse,r,"189"
HauptStrAB6,aare_koniz_hoppej,r,"2001"
HauptStrAB6,aare_koniz_hoppej,r,"483"
HauptStrAB6,aare_koniz_hoppej,r,"931"
HauptStrAB6,aare_koniz_hoppej,r,"92"
HauptStrAB6,aare_koniz_hoppej,r,"132"
HauptStrAB6,pfafikon-bad,l,"1876"
HauptStrAB6,pfafikon-bad,l,"1410"
HauptStrAB6,pfafikon-bad,l,"1135"
HauptStrAB6,pfafikon-bad,l,"212"
Autobahn,oberi-chlihochstetten,r,"3069"
NebenStr6,kusnachter-dorfbach-tobelweg-1-4,r,"1044"
NebenStr6,kusnachter-dorfbach-tobelweg-1-4,r,"839"
NebenStr6,kusnachter-dorfbach-tobelweg-1-4,r,"2198"
Autobahn,linth_mollis,r,"2058"
NebenStr3,seez_spennwiesenbrucke,r,"189"
NebenStr3,seez_spennwiesenbrucke,r,"569"
NebenStr3,seez_spennwiesenbrucke,r,"277"
NebenStr3,seez_spennwiesenbrucke,r,"2157"
NebenStr3,seez_spennwiesenbrucke,r,"66"
NebenStr3,seez_spennwiesenbrucke,r,"1246"
VerbindStr6,linth_mollis,r,"1426"
VerbindStr6,linth_mollis,r,"1793"
VerbindStr6,linth_mollis,r,"1549"
Autobahn,sitter_gaiserwald_buehlerf,r,"2940"
NebenStr3,plage-de-serriere,l,"1082"
