pcs/m,orchards,vineyards,buildings,forest,undefined,public services,streets
0.22,0.0,0.015,0.68,0.153,0.152,0.016753916274379298,0.17997433251969097
0.06,0.0,0.02,0.309,0.106,0.565,0.01544343981382,0.25103802310073225
0.31000000000000005,0.0,0.02,0.309,0.106,0.565,0.01544343981382,0.25103802310073225
0.16999999999999998,0.0,0.02,0.309,0.106,0.565,0.01544343981382,0.25103802310073225
0.12,0.0,0.02,0.309,0.106,0.565,0.01544343981382,0.25103802310073225
0.2,0.0,0.02,0.309,0.106,0.565,0.01544343981382,0.25103802310073225
0.15,0.0,0.02,0.309,0.106,0.565,0.01544343981382,0.25103802310073225
0.09,0.0,0.02,0.309,0.106,0.565,0.01544343981382,0.25103802310073225
0.29000000000000004,0.0,0.02,0.309,0.106,0.565,0.01544343981382,0.25103802310073225
0.0,0.0,0.02,0.309,0.106,0.565,0.01544343981382,0.25103802310073225
0.12,0.0,0.02,0.309,0.106,0.565,0.01544343981382,0.25103802310073225
0.0,0.0,0.02,0.309,0.106,0.565,0.01544343981382,0.25103802310073225
1.25,0.0,0.02,0.309,0.106,0.565,0.01544343981382,0.25103802310073225
0.82,0.0,0.02,0.309,0.106,0.565,0.01544343981382,0.25103802310073225
0.41000000000000003,0.0,0.02,0.309,0.106,0.565,0.01544343981382,0.25103802310073225
0.21,0.0,0.02,0.309,0.106,0.565,0.01544343981382,0.25103802310073225
0.42,0.0,0.02,0.309,0.106,0.565,0.01544343981382,0.25103802310073225
0.21000000000000002,0.0,0.02,0.309,0.106,0.565,0.01544343981382,0.25103802310073225
0.16,0.0,0.02,0.309,0.106,0.565,0.01544343981382,0.25103802310073225
0.22,0.0,0.02,0.309,0.106,0.565,0.01544343981382,0.25103802310073225
0.02,0.0,0.02,0.309,0.106,0.565,0.01544343981382,0.25103802310073225
0.18,0.0,0.02,0.309,0.106,0.565,0.01544343981382,0.25103802310073225
0.22,0.0,0.02,0.309,0.106,0.565,0.01544343981382,0.25103802310073225
0.06,0.0,0.02,0.309,0.106,0.565,0.01544343981382,0.25103802310073225
0.32,0.0,0.0,0.789,0.126,0.085,0.0365270287250264,0.1363647801907446
0.18,0.0,0.0,0.589,0.219,0.192,0.023838588608710302,0.21258713102997054
0.51,0.0,0.035,0.279,0.192,0.495,0.0241371707885807,0.15181559676891718
0.23,0.0,0.025,0.215,0.29,0.47,0.022451052763313304,0.21301492236845415
0.25,0.0,0.025,0.215,0.29,0.47,0.022451052763313304,0.21301492236845415
1.4900000000000002,0.0,0.0,0.41,0.258,0.332,0.0107951402310447,0.29583029265960387
1.02,0.0,0.0,0.41,0.258,0.332,0.0107951402310447,0.29583029265960387
1.4,0.0,0.191,0.139,0.306,0.364,0.0026977555819121144,0.18636603840056368
0.71,0.0,0.191,0.139,0.306,0.364,0.0026977555819121144,0.18636603840056368
2.5,0.0,0.191,0.139,0.306,0.364,0.0026977555819121144,0.18636603840056368
0.06,0.14,0.0,0.167,0.556,0.138,0.0006380571219174,0.13513173456805658
